Domain,Technique ID,Technique Name,Sentences
Enterprise,T1560,Archive via Utility,Ke3chang is known to use 7Zip and RAR with passwords to encrypt data prior to exfiltration.[1][4]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Several Ke3chang backdoors achieved persistence by adding a Run key.[2]
Enterprise,T1059,Command and Scripting Interpreter,Malware used by Ke3chang can run commands on the command-line interface.[1][2]
Enterprise,T1059,Windows Command Shell,Ke3chang has used batch scripts in its malware to install persistence mechanisms.[2]
Enterprise,T1543,Create or Modify System Process: Windows Service,Ke3chang backdoor RoyalDNS established persistence through adding a service called Nwsapagent.[2]
Enterprise,T1005,Data from Local System,Ke3chang gathered information and files from local directories for exfiltration.[1][4]
Enterprise,T1140,Deobfuscate/Decode Files or Information,Ke3chang has deobfuscated Base64-encoded shellcode strings prior to loading them.[4]
Enterprise,T1041,Exfiltration Over C2 Channel,Ke3chang transferred compressed and encrypted RAR files containing exfiltration through the established backdoor command and control channel during operations.[1]
Enterprise,T1083,File and Directory Discovery,Ke3chang uses command-line interaction to search files and directories.[1][4]
Enterprise,T1105,Ingress Tool Transfer,Ke3chang has used tools to download files to compromised machines.[4]
Enterprise,T1056,Input Capture: Keylogging,Ke3chang has used keyloggers.[2][4]
Enterprise,T1036,Masquerading: Right-to-Left Override,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing .scr and .exe files.[1]
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,"Ke3chang has dropped their malware into legitimate installed software paths including: C:\ProgramFiles\Realtek\Audio\HDA\AERTSr.exe, C:\Program Files (x86)\Foxit Software\Foxit Reader\FoxitRdr64.exe, C:\Program Files (x86)\Adobe\Flash Player\AddIns\airappinstaller\airappinstall.exe, and C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd64.exe.[4]"
Enterprise,T1027,Obfuscated Files or Information,Ke3chang has used Base64-encoded shellcode strings.[4]
Enterprise,T1588,Obtain Capabilities: Tool,Ke3chang has obtained and used tools such as Mimikatz.[2]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,"Ke3chang has dumped credentials, including by using Mimikatz.[1][2][4]"
Enterprise,T1003,OS Credential Dumping: Security Account Manager,"Ke3chang has dumped credentials, including by using gsecdump.[1][2]"
Enterprise,T1003,OS Credential Dumping: NTDS,Ke3chang has used NTDSDump and other password dumping tools to gather credentials.[4]
Enterprise,T1003,OS Credential Dumping: LSA Secrets,"Ke3chang has dumped credentials, including by using gsecdump.[1][2]"
Enterprise,T1069,Permission Groups Discovery: Domain Groups,Ke3chang performs discovery of permission groups net group /domain.[1]
Enterprise,T1057,Process Discovery,Ke3chang performs process discovery using tasklist commands.[1][2]
Enterprise,T1021,Remote Services: SMB/Windows Admin Shares,Ke3chang actors have been known to copy files to the network shares of other computers to move laterally.[1][2]
Enterprise,T1018,Remote System Discovery,"Ke3chang has used network scanning and enumeration tools, including Ping.[2]"
Enterprise,T1082,System Information Discovery,Ke3chang performs operating system information discovery using systeminfo and has used implants to identify the system language and computer name.[1][2][4]
Enterprise,T1016,System Network Configuration Discovery,Ke3chang has performed local network configuration discovery using ipconfig.[1][2][4]
Enterprise,T1049,System Network Connections Discovery,Ke3chang performs local network connection discovery using netstat.[1][2]
Enterprise,T1033,System Owner/User Discovery,Ke3chang has used implants capable of collecting the signed-in username.[4]
Enterprise,T1569,System Services: Service Execution,Ke3chang has used a tool known as RemoteExec (similar to PsExec) to remotely execute batch scripts and binaries.[2]
Enterprise,T1078,Valid Accounts,"Ke3chang has used credential dumpers or stealers to obtain legitimate credentials, which they used to gain access to victim accounts.[4]"
Enterprise,T1078,Cloud Accounts,Ke3chang has used compromised credentials to sign into victims’ Microsoft 365 accounts.[4]
Enterprise,T1588,Obtain Capabilities: Tool,PittyTiger has obtained and used tools such as Mimikatz and gsecdump.[1]
Enterprise,T1078,Valid Accounts,PittyTiger attempts to obtain legitimate credentials during operations.[1]
Enterprise,T1083,File and Directory Discovery,Winnti Group has used a program named ff.exe to search for specific documents on compromised hosts.[1]
Enterprise,T1105,Ingress Tool Transfer,Winnti Group has downloaded an auxiliary program named ff.exe to infected machines.[1]
Enterprise,T1057,Process Discovery,Winnti Group looked for a specific process running on infected servers.[1]
Enterprise,T1553,Subvert Trust Controls: Code Signing,Winnti Group used stolen certificates to sign its malware.[1]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Molerats saved malicious files within the AppData and Startup folders to maintain persistence.[3]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,Molerats used PowerShell implants on target machines.[3]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,"Molerats used various implants, including those built with VBScript, on target machines.[3][6]"
Enterprise,T1059,Command and Scripting Interpreter: JavaScript,"Molerats used various implants, including those built with JS, on target machines.[3]"
Enterprise,T1555,Credentials from Password Stores: Credentials from Web Browsers,Molerats used the public tool BrowserPasswordDump10 to dump passwords saved in browsers on victims.[1]
Enterprise,T1140,Deobfuscate/Decode Files or Information,Molerats decompresses ZIP files once on the victim machine.[3]
Enterprise,T1105,Ingress Tool Transfer,Molerats used executables to download malicious files from different sources.[3][6]
Enterprise,T1027,Obfuscated Files or Information,Molerats has delivered compressed executables within ZIP files to victims.[3]
Enterprise,T1566,Phishing: Spearphishing Attachment,Molerats has sent phishing emails with malicious Microsoft Word and PDF attachments.[3][6][4]
Enterprise,T1566,Phishing: Spearphishing Link,Molerats has sent phishing emails with malicious links included.[3]
Enterprise,T1057,Process Discovery,Molerats actors obtained a list of active processes on the victim and sent them to C2 servers.[1]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,Molerats has created scheduled tasks to persistently run VBScripts.[6]
Enterprise,T1553,Subvert Trust Controls: Code Signing,Molerats has used forged Microsoft code-signing certificates on malware.[5]
Enterprise,T1218,System Binary Proxy Execution: Msiexec,Molerats has used msiexec.exe to execute an MSI payload.[6]
Enterprise,T1204,User Execution: Malicious Link,Molerats has sent malicious links via email trick users into opening a RAR archive and running an executable.[3][6]
Enterprise,T1204,User Execution: Malicious File,Molerats has sent malicious files via email that tricked users into clicking Enable Content to run an embedded macro and to download malicious archives.[3][6][4]
Enterprise,T1087,Account Discovery: Local Account,"OilRig has run net user, net user /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to get account listings on a victim.[3]"
Enterprise,T1087,Account Discovery: Domain Account,"OilRig has run net user, net user /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to get account listings on a victim.[3]"
Enterprise,T1071,Application Layer Protocol: Web Protocols,OilRig has used HTTP for C2.[5][11][12]
Enterprise,T1071,Application Layer Protocol: DNS,OilRig has used DNS for C2 including the publicly available requestbin.net tunneling service.[5][11][12][10]
Enterprise,T1059,Command and Scripting Interpreter,OilRig has used various types of scripting for execution.[6][13][14][7][15]
Enterprise,T1059,PowerShell,"OilRig has used PowerShell scripts for execution, including use of a macro to run a PowerShell command to decode file contents.[6][16][9]"
Enterprise,T1059,Windows Command Shell,OilRig has used macros to deliver malware such as QUADAGENT and OopsIE.[6][13][14][7][15] OilRig has used batch scripts.[6][13][14][7][15]
Enterprise,T1059,Visual Basic,OilRig has used VBSscipt macros for execution on compromised hosts.[10]
Enterprise,T1555,Credentials from Password Stores,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[5][11][17][12]
Enterprise,T1555,Credentials from Web Browsers,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[5][11][17][12] OilRig has also used tool named PICKPOCKET to dump passwords from web browsers.[12]
Enterprise,T1555,Windows Credential Manager,OilRig has used credential dumping tool named VALUEVAULT to steal credentials from the Windows Credential Manager.[12]
Enterprise,T1140,Deobfuscate/Decode Files or Information,A OilRig macro has run a PowerShell command to decode file contents. OilRig has also used certutil to decode base64-encoded files on victims.[6][16][14][18]
Enterprise,T1573,Encrypted Channel: Asymmetric Cryptography,OilRig used the Plink utility and other tools to create tunnels to C2 servers.[11]
Enterprise,T1070,Indicator Removal on Host: File Deletion,OilRig has deleted files associated with their payload after execution.[6][14]
Enterprise,T1105,Ingress Tool Transfer,OilRig can download remote files onto victims.[6]
Enterprise,T1056,Input Capture: Keylogging,OilRig has used keylogging tools called KEYPUNCH and LONGWATCH.[11][12]
Enterprise,T1036,Masquerading,OilRig has used .doc file extensions to mask malicious executables.[10]
Enterprise,T1027,Obfuscated Files or Information,"OilRig has encrypted and encoded data in its malware, including by using base64.[6][7][5][9][15]"
Enterprise,T1027,Indicator Removal from Tools,OilRig has tested malware samples to determine AV detection and subsequently modified the samples to ensure AV evasion.[1][15]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,OilRig has used credential dumping tools such as Mimikatz to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[5][11][17][12]
Enterprise,T1003,OS Credential Dumping: LSA Secrets,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[5][11][17][12]
Enterprise,T1003,OS Credential Dumping: Cached Domain Credentials,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.[5][11][17][12]
Enterprise,T1069,Permission Groups Discovery: Local Groups,OilRig has used net localgroup administrators to find local administrators on compromised systems.[3]
Enterprise,T1069,Permission Groups Discovery: Domain Groups,"OilRig has used net group /domain, net group ""domain admins"" /domain, and net group ""Exchange Trusted Subsystem"" /domain to find domain group permission settings.[3]"
Enterprise,T1566,Phishing: Spearphishing Attachment,OilRig has sent spearphising emails with malicious attachments to potential victims using compromised and/or spoofed email accounts.[14][7][9]
Enterprise,T1566,Phishing: Spearphishing Link,OilRig has sent spearphising emails with malicious links to potential victims.[14]
Enterprise,T1566,Phishing: Spearphishing via Service,OilRig has used LinkedIn to send spearphishing links.[12]
Enterprise,T1057,Process Discovery,OilRig has run tasklist on a victim's machine.[3]
Enterprise,T1012,Query Registry,"OilRig has used reg query ""HKEY_CURRENT_USER\Software\Microsoft\Terminal Server Client\Default"" on a victim to query the Registry.[3]"
Enterprise,T1021,Remote Services: Remote Desktop Protocol,OilRig has used Remote Desktop Protocol for lateral movement. The group has also used tunneling tools to tunnel RDP into the environment.[5][11][18]
Enterprise,T1021,Remote Services: SSH,OilRig has used Putty to access compromised systems.[5]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,OilRig has created scheduled tasks that run a VBScript to execute a payload on victim machines.[14][7][12][10]
Enterprise,T1113,Screen Capture,OilRig has a tool called CANDYKING to capture a screenshot of user's desktop.[11]
Enterprise,T1218,System Binary Proxy Execution: Compiled HTML File,OilRig has used a CHM payload to load and execute another malicious file once delivered to a victim.[3]
Enterprise,T1082,System Information Discovery,OilRig has run hostname and systeminfo on a victim.[3][4][12][10]
Enterprise,T1016,System Network Configuration Discovery,OilRig has run ipconfig /all on a victim.[3][4]
Enterprise,T1049,System Network Connections Discovery,OilRig has used netstat -an on a victim to get a listing of network connections.[3]
Enterprise,T1033,System Owner/User Discovery,OilRig has run whoami on a victim.[3][4][10]
Enterprise,T1204,User Execution: Malicious Link,OilRig has delivered malicious links to achieve execution on the target system.[14][7][9]
Enterprise,T1204,User Execution: Malicious File,"OilRig has delivered macro-enabled documents that required targets to click the ""enable content"" button to execute the payload on the system.[14][7][9][10]"
Enterprise,T1078,Valid Accounts,OilRig has used compromised credentials to access other systems on a victim network.[5][11][18]
Enterprise,T1497,Virtualization/Sandbox Evasion: System Checks,OilRig has used macros to verify if a mouse is connected to a compromised machine.[10]
Enterprise,T1047,Windows Management Instrumentation,OilRig has used WMI for execution.[11]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"Silence has used HKCU\Software\Microsoft\Windows\CurrentVersion\Run, HKLM\Software\Microsoft\Windows\CurrentVersion\Run, and the Startup folder to establish persistence.[4]"
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,Silence has used PowerShell to download and execute payloads.[1][4]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,Silence has used Windows command-line to run commands.[1][2][4]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,Silence has used VBS scripts.[1]
Enterprise,T1059,Command and Scripting Interpreter: JavaScript,Silence has used JS scripts.[1]
Enterprise,T1070,Indicator Removal on Host: File Deletion,"Silence has deleted artifacts, including scheduled tasks, communicates files from the C2 and other logs.[1][4]"
Enterprise,T1105,Ingress Tool Transfer,Silence has downloaded additional modules and malware to victim’s machines.[4]
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,"Silence has named its backdoor ""WINWORD.exe"".[4]"
Enterprise,T1112,Modify Registry,"Silence can create, delete, or modify a specified Registry key or value.[4]"
Enterprise,T1106,Native API,"Silence has leveraged the Windows API, including using CreateProcess() or ShellExecute(), to perform a variety of tasks.[2][4]"
Enterprise,T1027,Obfuscated Files or Information,Silence has used environment variable string substitution for obfuscation.[1]
Enterprise,T1588,Obtain Capabilities: Tool,Silence has obtained and modified versions of publicly-available tools like Empire and PsExec.[5] [2]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,Silence has used the Farse6.1 utility (based on Mimikatz) to extract credentials from lsass.exe.[4]
Enterprise,T1566,Phishing: Spearphishing Attachment,"Silence has sent emails with malicious DOCX, CHM, LNK and ZIP attachments. [1][2][4]"
Enterprise,T1055,Process Injection,Silence has injected a DLL library containing a Trojan into the fwmain32.exe process.[4]
Enterprise,T1090,Proxy: External Proxy,"Silence has used ProxyBot, which allows the attacker to redirect traffic from the current node to the backconnect server via Sock4\Socks5.[4]"
Enterprise,T1021,Remote Services: Remote Desktop Protocol,Silence has used RDP for lateral movement.[4]
Enterprise,T1018,Remote System Discovery,"Silence has used Nmap to scan the corporate network, build a network topology, and identify vulnerable hosts.[4]"
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,Silence has used scheduled tasks to stage its operation.[1]
Enterprise,T1113,Screen Capture,Silence can capture victim screen activity.[2][4]
Enterprise,T1553,Subvert Trust Controls: Code Signing,Silence has used a valid certificate to sign their primary loader Silence.Downloader (aka TrueBot).[5]
Enterprise,T1218,System Binary Proxy Execution: Compiled HTML File,Silence has weaponized CHM files in their phishing campaigns.[1][2][5][4]
Enterprise,T1569,System Services: Service Execution,Silence has used Winexe to install a service on the remote system.[2][4]
Enterprise,T1204,User Execution: Malicious File,Silence attempts to get users to launch malicious attachments delivered via spearphishing emails.[1][2][4]
Enterprise,T1078,Valid Accounts,Silence has used compromised credentials to log on to other systems and escalate privileges.[4]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,ZIRCONIUM has created a Registry Run key named Dropbox Update Setup to establish persistence for a malicious Python binary.[4]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,ZIRCONIUM has used a tool to open a Windows Command Shell on a remote host.[4]
Enterprise,T1059,Command and Scripting Interpreter: Python,ZIRCONIUM has used Python-based implants to interact with compromised hosts.[3][4]
Enterprise,T1555,Credentials from Password Stores: Credentials from Web Browsers,ZIRCONIUM has used a tool to steal credentials from installed web browsers including Microsoft Internet Explorer and Google Chrome.[4]
Enterprise,T1140,Deobfuscate/Decode Files or Information,ZIRCONIUM has used the AES256 algorithm with a SHA1 derived key to decrypt exploit code.[2]
Enterprise,T1573,Encrypted Channel: Symmetric Cryptography,ZIRCONIUM has used AES encrypted communications in C2.[4]
Enterprise,T1041,Exfiltration Over C2 Channel,ZIRCONIUM has exfiltrated files via the Dropbox API C2.[4]
Enterprise,T1105,Ingress Tool Transfer,ZIRCONIUM has used tools to download malicious files to compromised hosts.[4]
Enterprise,T1036,Masquerading,ZIRCONIUM has spoofed legitimate applications in phishing lures and changed file extensions to conceal installation of malware.[3][4]
Enterprise,T1036,Masquerade Task or Service,ZIRCONIUM has created a run key named Dropbox Update Setup to mask a persistence mechanism for a malicious binary.[4]
Enterprise,T1027,Obfuscated Files or Information: Software Packing,ZIRCONIUM has used multi-stage packers for exploit code.[2]
Enterprise,T1566,Phishing: Spearphishing Link,ZIRCONIUM has used malicious links and web beacons in e-mails for malware download and to track hits to attacker-controlled URL's.[1][3][4]
Enterprise,T1012,Query Registry,ZIRCONIUM has used a tool to query the Registry for proxy settings.[4]
Enterprise,T1218,System Binary Proxy Execution: Msiexec,ZIRCONIUM has used the msiexec.exe command-line utility to download and execute malicious MSI files.[4]
Enterprise,T1082,System Information Discovery,ZIRCONIUM has used a tool to capture the processor architecture of a compromised host in order to register it with C2.[4]
Enterprise,T1016,System Network Configuration Discovery,ZIRCONIUM has used a tool to enumerate proxy settings in the target environment.[4]
Enterprise,T1033,System Owner/User Discovery,ZIRCONIUM has used a tool to capture the username on a compromised host in order to register it with C2.[4]
Enterprise,T1124,System Time Discovery,ZIRCONIUM has used a tool to capture the time on a compromised host in order to register it with C2.[4]
Enterprise,T1204,User Execution: Malicious Link,ZIRCONIUM has used malicious links in e-mails to lure victims into downloading malware.[3][4]
Enterprise,T1102,Web Service: Bidirectional Communication,ZIRCONIUM has used Dropbox for C2 allowing upload and download of files as well as execution of arbitrary commands.[3][4]
Enterprise,T1071,Application Layer Protocol: Web Protocols,Night Dragon has used HTTP for C2.[1]
Enterprise,T1074,Data Staged: Remote Data Staging,Night Dragon has copied files to company web servers and subsequently downloaded them.[1]
Enterprise,T1562,Impair Defenses: Disable or Modify Tools,Night Dragon has disabled anti-virus and anti-spyware tools in some instances on the victim’s machines. The actors have also disabled proxy settings to allow direct communication from victims to the Internet.[1]
Enterprise,T1027,Obfuscated Files or Information,A Night Dragon DLL included an XOR-encoded section.[1]
Enterprise,T1027,Software Packing,Night Dragon is known to use software packing in its tools.[1]
Enterprise,T1588,Obtain Capabilities: Tool,Night Dragon has obtained and used tools such as gsecdump.[1]
Enterprise,T1003,OS Credential Dumping: Security Account Manager,Night Dragon has dumped account hashes with Carbanak and cracked them with Cain & Abel.[1]
Enterprise,T1566,Phishing: Spearphishing Link,Night Dragon sent spearphishing emails containing links to compromised websites where malware was downloaded.[1]
Enterprise,T1204,User Execution: Malicious Link,Night Dragon enticed users to click on links in spearphishing emails to download malware.[1]
Enterprise,T1078,Valid Accounts,Night Dragon has used compromised VPN accounts to gain access to victim systems.[1]
Enterprise,T1071,Application Layer Protocol: Web Protocols,Kimsuky has used HTTP GET and POST requests for C2.[13]
Enterprise,T1071,Application Layer Protocol: File Transfer Protocols,Kimsuky has used FTP to download additional malware to the target machine.[14]
Enterprise,T1071,Application Layer Protocol: Mail Protocols,Kimsuky has used e-mail to send exfiltrated data to C2 servers.[5]
Enterprise,T1560,Archive Collected Data: Archive via Utility,Kimsuky has used QuickZip to archive stolen files before exfiltration.[13]
Enterprise,T1560,Archive Collected Data: Archive via Custom Method,Kimsuky has used RC4 encryption before exfil.[15]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Kimsuky has placed scripts in the startup folder for persistence and modified the HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunOnce Registry key.[15][5][16][13][11]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,Kimsuky has executed a variety of PowerShell scripts.[1][5][13][11]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,Kimsuky has executed Windows commands by using cmd and running batch scripts.[13][11]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,Kimsuky has used Visual Basic to download malicious payloads.[10][14][16][13] Kimsuky has also used malicious VBA macros within maldocs disguised as forms that trigger when a victim types any content into the lure.[13]
Enterprise,T1059,Command and Scripting Interpreter: Python,Kimsuky has used a macOS Python implant to gather data as well as MailFetcher.py code to automatically collect email data.[5][11]
Enterprise,T1059,Command and Scripting Interpreter: JavaScript,Kimsuky has used JScript for logging and downloading additional tools.[14][5]
Enterprise,T1543,Create or Modify System Process: Windows Service,Kimsuky has created new services for persistence.[15][5]
Enterprise,T1555,Credentials from Password Stores: Credentials from Web Browsers,Kimsuky has used browser extensions including Google Chrome to steal passwords and cookies from browsers. Kimsuky has also used Nirsoft's WebBrowserPassView tool to dump the passwords obtained from victims.[9][5][6][13]
Enterprise,T1005,Data from Local System,"Kimsuky has collected Office, PDF, and HWP documents from its victims.[15][13]"
Enterprise,T1074,Data Staged: Local Data Staging,Kimsuky has staged collected data files under C:\Program Files\Common Files\System\Ole DB\.[5][13]
Enterprise,T1140,Deobfuscate/Decode Files or Information,Kimsuky has decoded malicious VBScripts using Base64.[13]
Enterprise,T1041,Exfiltration Over C2 Channel,Kimsuky has exfiltrated data over its C2 channel.[15][13]
Enterprise,T1083,File and Directory Discovery,Kimsuky has the ability to enumerate all files and directories on an infected system.[15][13][11]
Enterprise,T1564,Hide Artifacts: Hidden Users,Kimsuky has run reg add ‘HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList’ /v to hide a newly created user.[11]
Enterprise,T1564,Hide Artifacts: Hidden Window,Kimsuky has used an information gathering module that will hide an AV software window from the victim.[13]
Enterprise,T1562,Impair Defenses: Disable or Modify Tools,Kimsuky has been observed turning off Windows Security Center and can hide the AV software window from the view of the infected user.[15][13]
Enterprise,T1562,Impair Defenses: Disable or Modify System Firewall,Kimsuky has been observed disabling the system firewall.[15]
Enterprise,T1070,Indicator Removal on Host: File Deletion,Kimsuky has deleted the exfiltrated data on disk after transmission. Kimsuky has also used an instrumentor script to terminate browser processes running on an infected system and then delete the cookie files on disk.[15][13][11]
Enterprise,T1070,Indicator Removal on Host: Timestomp,Kimsuky has manipulated timestamps for creation or compilation dates to defeat anti-forensics.[3]
Enterprise,T1105,Ingress Tool Transfer,"Kimsuky has downloaded additional scripts, tools, and malware onto victim systems.[16][13]"
Enterprise,T1056,Input Capture: Keylogging,Kimsuky has used a PowerShell-based keylogger as well as a tool called MECHANICAL to log keystrokes.[1][15][5][6][13][11]
Enterprise,T1036,Masquerading,"Kimsuky has disguised its C2 addresses as the websites of shopping malls, governments, universities, and others.[11]"
Enterprise,T1036,Masquerade Task or Service,Kimsuky has disguised services to appear as benign software or related to operating system functions.[5]
Enterprise,T1036,Match Legitimate Name or Location,Kimsuky has renamed malware to legitimate names such as ESTCommon.dll or patch.dll.[11]
Enterprise,T1112,Modify Registry,Kimsuky has modified Registry settings for default file associations to enable all macros and for persistence.[5][16][13][11]
Enterprise,T1027,Obfuscated Files or Information,Kimsuky has obfuscated binary strings including the use of XOR encryption and Base64 encoding.[10][14] Kimsuky has also modified the first byte of DLL implants targeting victims to prevent recognition of the executable file format.[13]
Enterprise,T1027,Software Packing,Kimsuky has packed malware with UPX.[4]
Enterprise,T1588,Obtain Capabilities: Tool,"Kimsuky has obtained and used tools such as Nirsoft WebBrowserPassVIew, Mimikatz, and PsExec.[6][13]"
Enterprise,T1588,Obtain Capabilities: Exploits,Kimsuky has obtained exploit code for various CVEs.[11]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,Kimsuky has gathered credentials using Mimikatz and ProcDump.[5][6][11]
